date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:56:20	656568/656568	UR-M--	200	added ('Partial%20Content')	image/png	date:Sun,%2012%20May%202019%2019:24:37%20GMT	http://em.logosny.org/wp-content/uploads/2016/10/Website-Banners-4-1.png	C:/My%20Web%20Sites/logosny/em.logosny.org/wp-content/uploads/2016/10/Website-Banners-4-1.png	(from http://em.logosny.org/connect/calendar)
17:56:21	1292/1292	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Nov%202020%2022:56:21%20GMT	http://em.logosny.org/%22http:////em.logosny.org//sermon/%22	C:/My%20Web%20Sites/logosny/em.logosny.org/_http_/em.logosny.org/sermon/_.html	(from http://em.logosny.org/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fem.logosny.org%2Fsermon)
17:56:22	419783/419783	UR-M--	200	added ('Partial%20Content')	image/png	date:Sun,%2012%20May%202019%2019:24:14%20GMT	http://em.logosny.org/wp-content/uploads/2016/10/Website-Banners-9.png	C:/My%20Web%20Sites/logosny/em.logosny.org/wp-content/uploads/2016/10/Website-Banners-9.png	(from http://em.logosny.org/ministries)
17:56:22	5126/5126	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Nov%202020%2022:56:22%20GMT	http://em.logosny.org/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fem.logosny.org%2Fsermon%2Ftwentynineteen	C:/My%20Web%20Sites/logosny/em.logosny.org/wp-json/oembed/1.0/embed4166.html	(from http://em.logosny.org/sermon/twentynineteen)
17:56:23	1292/1292	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Nov%202020%2022:56:23%20GMT	http://em.logosny.org/?p=1678	C:/My%20Web%20Sites/logosny/em.logosny.org/indexae71.html	(from http://em.logosny.org/sermon/twentynineteen)
17:56:23	5224/5224	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Nov%202020%2022:56:23%20GMT	http://em.logosny.org/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fem.logosny.org%2Fsermon%2Ftwentynineteen&format=xml	C:/My%20Web%20Sites/logosny/em.logosny.org/wp-json/oembed/1.0/embed8317.html	(from http://em.logosny.org/sermon/twentynineteen)
17:56:24	447656/447656	UR-M--	200	added ('Partial%20Content')	image/png	date:Sun,%2012%20May%202019%2019:24:18%20GMT	http://em.logosny.org/wp-content/uploads/2016/10/Website-Banners-7.png	C:/My%20Web%20Sites/logosny/em.logosny.org/wp-content/uploads/2016/10/Website-Banners-7.png	(from http://em.logosny.org/connect/basketball)
17:56:24	11232/11232	---M--	200	added ('OK')	text/css	date:Sun,%2012%20May%202019%2019:44:17%20GMT	http://em.logosny.org/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css?ver=4.2.6-78496d1	C:/My%20Web%20Sites/logosny/em.logosny.org/wp-includes/js/mediaelement/mediaelementplayer-legacy.min45a0.css	(from http://em.logosny.org/sermon/twentynineteen)
17:56:25	16318/16318	---M--	200	added ('OK')	text/css	date:Sun,%2012%20May%202019%2019:31:30%20GMT	http://em.logosny.org/wp-content/plugins/cue/assets/css/cue.min.css?ver=2.3.0	C:/My%20Web%20Sites/logosny/em.logosny.org/wp-content/plugins/cue/assets/css/cue.mina1ec.css	(from http://em.logosny.org/sermon/twentynineteen)
17:56:40	597901/597901	UR-M--	200	added ('Partial%20Content')	image/png	date:Sun,%2012%20May%202019%2019:24:34%20GMT	http://em.logosny.org/wp-content/uploads/2016/10/Website-Banners-5.png	C:/My%20Web%20Sites/logosny/em.logosny.org/wp-content/uploads/2016/10/Website-Banners-5.png	(from http://em.logosny.org/connect/fellowships)
17:56:41	1193/1193	---M--	200	added ('OK')	application/javascript	date:Sun,%2012%20May%202019%2019:44:17%20GMT	http://em.logosny.org/wp-includes/js/mediaelement/mediaelement-migrate.min.js?ver=5.2.9	C:/My%20Web%20Sites/logosny/em.logosny.org/wp-includes/js/mediaelement/mediaelement-migrate.min0606.js	(from http://em.logosny.org/sermon/twentynineteen)
17:56:44	12382/12382	---M--	200	added ('OK')	application/javascript	date:Sun,%2012%20May%202019%2019:31:29%20GMT	http://em.logosny.org/wp-content/plugins/cue/assets/js/vendor/jquery.cue.min.js?ver=1.2.4	C:/My%20Web%20Sites/logosny/em.logosny.org/wp-content/plugins/cue/assets/js/vendor/jquery.cue.min9030.js	(from http://em.logosny.org/sermon/twentynineteen)
17:56:45	3890/3890	---M--	200	added ('OK')	application/javascript	date:Sun,%2012%20May%202019%2019:31:29%20GMT	http://em.logosny.org/wp-content/plugins/cue/assets/js/cue.min.js?ver=2.3.0	C:/My%20Web%20Sites/logosny/em.logosny.org/wp-content/plugins/cue/assets/js/cue.mina1ec.js	(from http://em.logosny.org/sermon/twentynineteen)
17:56:46	5130/5130	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Nov%202020%2022:56:46%20GMT	http://em.logosny.org/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fem.logosny.org%2Fsermon%2Ftwentynineteen-2	C:/My%20Web%20Sites/logosny/em.logosny.org/wp-json/oembed/1.0/embed006b.html	(from http://em.logosny.org/sermon/twentynineteen-2)
17:56:47	1292/1292	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Nov%202020%2022:56:48%20GMT	http://em.logosny.org/?p=1766	C:/My%20Web%20Sites/logosny/em.logosny.org/indexf770.html	(from http://em.logosny.org/sermon/twentynineteen-2)
17:56:48	5228/5228	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Nov%202020%2022:56:48%20GMT	http://em.logosny.org/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fem.logosny.org%2Fsermon%2Ftwentynineteen-2&format=xml	C:/My%20Web%20Sites/logosny/em.logosny.org/wp-json/oembed/1.0/embedd9af.html	(from http://em.logosny.org/sermon/twentynineteen-2)
17:56:49	156559/156559	---M--	200	added ('OK')	application/javascript	date:Sun,%2012%20May%202019%2019:44:16%20GMT	http://em.logosny.org/wp-includes/js/mediaelement/mediaelement-and-player.min.js?ver=4.2.6-78496d1	C:/My%20Web%20Sites/logosny/em.logosny.org/wp-includes/js/mediaelement/mediaelement-and-player.min45a0.js	(from http://em.logosny.org/sermon/twentynineteen)
17:56:50	5116/5116	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Nov%202020%2022:56:51%20GMT	http://em.logosny.org/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fem.logosny.org%2Fsermon%2Ftwentyeighteen	C:/My%20Web%20Sites/logosny/em.logosny.org/wp-json/oembed/1.0/embed4732.html	(from http://em.logosny.org/sermon/twentyeighteen)
17:56:51	1292/1292	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Nov%202020%2022:56:51%20GMT	http://em.logosny.org/?p=1573	C:/My%20Web%20Sites/logosny/em.logosny.org/indexc8dc.html	(from http://em.logosny.org/sermon/twentyeighteen)
17:56:52	5214/5214	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Nov%202020%2022:56:52%20GMT	http://em.logosny.org/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fem.logosny.org%2Fsermon%2Ftwentyeighteen&format=xml	C:/My%20Web%20Sites/logosny/em.logosny.org/wp-json/oembed/1.0/embed35fa.html	(from http://em.logosny.org/sermon/twentyeighteen)
